segment_id,line_name,group,station_id,station_name,platform_regime,line_regime,dwell_s,n_samples,pm25_mean,pm25_median,pm25_peak,pm10_mean,co2_mean
S07,Northern,busier,940GZZLULSQ,Leicester Square,underground_no_psd,deep_tube_open,130.0,13,208.1407235952524,206.1312255859375,237.8662872314453,265.8476304274339,1125.923076923077
S07,Northern,busier,940GZZLUCHX,Charing Cross,underground_no_psd,deep_tube_open,160.0,16,191.90430450439453,189.90248107910156,213.454345703125,258.1892728805542,993.25
S07,Northern,busier,940GZZLUEMB,Embankment,underground_no_psd,deep_tube_open,80.0,8,208.27031135559082,205.07333374023435,236.3288116455078,274.23071670532227,951.125
S07,Northern,busier,940GZZLUWLO,Waterloo,underground_no_psd,deep_tube_open,130.0,13,176.0394744873047,171.19317626953125,212.1104736328125,228.55182236891525,935.7692307692307
S07,Northern,busier,940GZZLUKNG,Kennington,underground_no_psd,deep_tube_open,120.0,12,231.03523127237955,232.36209869384766,247.94920349121097,297.0940424601237,827.1666666666666
S08,Victoria,busier,940GZZLUSKW,Stockwell,underground_no_psd,deep_tube_open,40.0,4,238.05270767211914,238.58574676513672,263.53961181640625,304.68011474609375,571.5
S08,Victoria,busier,940GZZLUVXL,Vauxhall,underground_no_psd,deep_tube_open,80.0,8,198.42494106292725,213.65887451171875,220.92581176757812,251.78207206726074,661.125
S08,Victoria,busier,940GZZLUPCO,Pimlico,underground_no_psd,deep_tube_open,90.0,9,217.90699428982205,222.15798950195312,229.9422607421875,275.68371921115454,652.6666666666666
S08,Victoria,busier,940GZZLUVIC,Victoria,underground_no_psd,deep_tube_open,90.0,9,183.333615620931,197.30059814453125,211.75827026367188,236.32494184705945,676.1111111111111
S08,Victoria,busier,940GZZLUGPK,Green Park,underground_no_psd,deep_tube_open,90.0,9,197.17894151475696,173.9367218017578,281.70587158203125,257.4138675265842,757.1111111111111
S08,Victoria,busier,940GZZLUOXC,Oxford Circus,underground_no_psd,deep_tube_open,100.0,10,228.1351104736328,221.30475616455078,253.93338012695312,292.4854797363281,908.1
S08,Victoria,busier,940GZZLUWRR,Warren Street,underground_no_psd,deep_tube_open,120.0,12,175.31911977132162,187.11896514892578,246.5391845703125,220.1437816619873,1000.4166666666666
S08,Victoria,busier,940GZZLUEUS,Euston,underground_no_psd,deep_tube_open,120.0,12,133.9625727335612,129.17202758789062,181.22206115722656,173.58120091756186,1030.6666666666667
S09,Hammersmith & City,busier,940GZZLUPAH,Paddington (H&C Line)-Underground,open_air,sub_surface,199.0,20,6.505796980857849,4.6499810218811035,14.630899429321287,7.662276709079743,631.65
S09,Hammersmith & City,busier,940GZZLUERC,Edgware Road (Circle Line),open_air,sub_surface,109.0,11,6.413234537298029,6.15294075012207,8.1447114944458,7.074439308860085,780.0909090909091
S09,Hammersmith & City,busier,940GZZLUBST,Baker Street,underground_no_psd,sub_surface,169.0,16,47.40343654155731,46.92700004577637,63.99734115600586,58.886048793792725,886.5625
S09,Hammersmith & City,busier,940GZZLUGPS,Great Portland Street,partially_open,sub_surface,130.0,13,57.65134048461914,71.97361755371094,79.88375091552734,68.88422437814566,873.9230769230769
S09,Hammersmith & City,busier,940GZZLUESQ,Euston Square,underground_no_psd,sub_surface,250.0,25,94.14888732910157,98.9309310913086,110.19465637207033,115.2358413696289,839.92
S09,Hammersmith & City,busier,940GZZLUKSX,King's Cross St. Pancras,underground_no_psd,sub_surface,110.0,11,67.18519869717684,70.38448333740234,74.7172622680664,83.49498297951438,1227.5454545454545
S09,Hammersmith & City,busier,940GZZLUFCN,Farringdon,partially_open,sub_surface,101.0,10,17.22816343307495,16.885058879852295,30.250831604003903,19.335756874084474,779.6
S09,Hammersmith & City,busier,940GZZLUBBN,Barbican,open_air,sub_surface,80.0,8,12.310551047325134,11.539796829223633,17.560970306396484,13.226322650909424,734.25
S09,Hammersmith & City,busier,940GZZLUMGT,Moorgate,underground_no_psd,sub_surface,111.0,11,12.663834571838379,11.634108543395996,21.844829559326172,14.024900523099033,664.2727272727273
S09,Hammersmith & City,busier,940GZZLULVT,Liverpool Street,partially_open,sub_surface,120.0,12,7.159539421399434,6.649527072906494,17.148632049560547,7.667075614134471,642.4166666666666
S10,Elizabeth,quieter,910GCUSTMHS,Custom House,open_air,full_psd_line,429.0,33,4.08852802623402,3.2633490562438965,13.05696964263916,4.62744714274551,630.060606060606
S10,Elizabeth,quieter,910GCANWHRF,Canary Wharf,full_psd,full_psd_line,420.0,42,26.45389173144386,26.63173484802246,29.96533966064453,32.07260965165638,708.0238095238095
S10,Elizabeth,quieter,910GWCHAPXR,Whitechapel,full_psd,full_psd_line,310.0,31,42.2080015982351,42.96271514892578,55.20393371582031,51.54708991512175,859.7741935483871
S10,Elizabeth,quieter,910GLIVSTLL,Liverpool Street,full_psd,full_psd_line,100.0,10,32.263375473022464,32.9377555847168,42.61287689208984,39.49018783569336,1053.8
S10,Elizabeth,quieter,910GFRNDXR,Farringdon,full_psd,full_psd_line,120.0,12,47.24284474054972,52.14496421813965,57.82625579833984,59.00633096694946,958.3333333333334
S10,Elizabeth,quieter,910GTOTCTRD,Tottenham Court Road,full_psd,full_psd_line,250.0,25,40.26652629852295,43.64521408081055,64.1432113647461,48.36103012084961,1060.64
S10,Elizabeth,quieter,910GBONDST,Bond Street,full_psd,full_psd_line,230.0,23,10.465382327204166,10.51478385925293,11.352234840393066,11.624970311703889,999.304347826087
S10,Elizabeth,quieter,910GPADTLL,Paddington,full_psd,full_psd_line,170.0,17,7.131373293259564,6.472647666931152,10.253517150878906,7.609107802895939,900.0
S11,Central,busier,940GZZLUBND,Bond Street,underground_no_psd,deep_tube_open,40.0,4,127.81686973571777,132.41744232177734,137.32542419433594,151.01752090454102,936.25
S11,Central,busier,940GZZLUOXC,Oxford Circus,underground_no_psd,deep_tube_open,100.0,10,176.65150604248046,182.77919006347656,186.74012756347656,208.82752075195313,1160.0
S11,Central,busier,940GZZLUTCR,Tottenham Court Road,underground_no_psd,deep_tube_open,150.0,15,179.08260396321614,180.1849822998047,194.02850341796875,209.24444681803385,1182.8666666666666
S11,Central,busier,940GZZLUHBN,Holborn,underground_no_psd,deep_tube_open,150.0,15,155.343891398112,155.35008239746094,161.8826446533203,180.24529418945312,1181.6666666666667
S11,Central,busier,940GZZLUCHL,Chancery Lane,underground_no_psd,deep_tube_open,130.0,12,161.95566940307617,164.0033721923828,169.04917907714844,186.06372833251953,1208.25
S11,Central,busier,940GZZLUBNK,Bank,underground_no_psd,deep_tube_open,380.0,38,129.74203491210938,135.50385284423828,146.47149658203125,150.70478941264906,1189.0263157894738
S11,Central,busier,940GZZLULVT,Liverpool Street,underground_no_psd,deep_tube_open,140.0,14,79.30981336321149,80.72635269165039,96.80789947509766,94.01009205409459,1421.0714285714287
S11,Central,busier,940GZZLUBLG,Bethnal Green,underground_no_psd,deep_tube_open,120.0,12,154.34500630696616,132.83795928955078,229.0886993408203,183.1800079345703,1016.1666666666666
S11,Central,busier,940GZZLUMED,Mile End,underground_no_psd,deep_tube_open,90.0,9,152.8721398247613,155.30357360839844,179.02688598632812,187.1137000189887,906.7777777777778
S11,Central,busier,940GZZLUSTD,Stratford,open_air,deep_tube_open,140.0,14,5.606610945292881,5.336699485778809,8.336544036865234,6.404823132923672,736.8571428571429
S12,Hammersmith & City,quieter,940GZZLUPAH,Paddington (H&C Line)-Underground,open_air,sub_surface,120.0,12,13.80196475982666,13.897292613983154,14.525535583496094,13.801973183949789,556.5
S12,Hammersmith & City,quieter,940GZZLUERC,Edgware Road (Circle Line),open_air,sub_surface,330.0,33,14.25236751094009,14.113048553466797,17.13128662109375,14.258612199263139,586.9090909090909
S12,Hammersmith & City,quieter,940GZZLUBST,Baker Street,underground_no_psd,sub_surface,310.0,27,63.145186530219185,60.549564361572266,85.29106140136719,72.79488104361074,699.4074074074074
S12,Hammersmith & City,quieter,940GZZLUGPS,Great Portland Street,partially_open,sub_surface,250.0,25,58.220438690185546,57.33502197265625,64.92582702636719,66.83171432495118,641.24
S12,Hammersmith & City,quieter,940GZZLUESQ,Euston Square,underground_no_psd,sub_surface,90.0,8,81.5051622390747,88.42046737670898,92.14971923828124,93.27666664123535,817.875
S12,Hammersmith & City,quieter,940GZZLUKSX,King's Cross St. Pancras,underground_no_psd,sub_surface,119.0,12,63.83725166320801,61.992008209228516,73.82080841064453,74.87059529622395,914.5
S12,Hammersmith & City,quieter,940GZZLUFCN,Farringdon,partially_open,sub_surface,150.0,13,17.64619731903076,16.469013214111328,34.47147750854492,18.065467320955715,679.3846153846154
S12,Hammersmith & City,quieter,940GZZLUBBN,Barbican,open_air,sub_surface,200.0,20,17.650279664993285,14.499768257141113,27.487211227416992,18.071814632415773,634.05
S12,Hammersmith & City,quieter,940GZZLUMGT,Moorgate,underground_no_psd,sub_surface,160.0,16,72.4091489315033,77.06122589111328,80.86646270751953,85.85916471481323,665.0
S12,Hammersmith & City,quieter,940GZZLULVT,Liverpool Street,partially_open,sub_surface,101.0,10,42.7762393951416,43.157875061035156,45.195106506347656,47.35128326416016,774.7
