sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
4763,2026-07-10T10:15:42.000+01:00,7.462169647216797,7.890959739685059,7.890961170196533,802.0,32.084381103515625,45.26741409301758,1014.3746337890625,0.0054931640625,1.0,78.0,29578,16540,live,,,,,,
4764,2026-07-10T10:15:52.000+01:00,7.586370468139648,8.022297859191895,8.022298812866211,800.0,32.12977981567383,45.26283645629883,1014.3853149414062,0.1068115234375,1.0,75.0,29612,16534,live,,,,,,
4765,2026-07-10T10:16:02.000+01:00,7.450089454650879,7.878185272216797,7.8781867027282715,798.0,32.1351203918457,45.20943069458008,1014.3922729492188,0.069580078125,1.0,71.0,29629,16541,live,,,,,,
4766,2026-07-10T10:16:12.000+01:00,7.193084239959717,7.606412410736084,7.6064133644104,793.0,32.1564826965332,45.10719299316406,1014.3775634765625,0.1470947265625,1.0,66.0,29657,16537,live,,,,,,
4767,2026-07-10T10:16:22.000+01:00,7.273679733276367,7.691638946533203,7.691640377044678,789.0,32.16716384887695,45.08735656738281,1014.3773193359375,0.00244140625,1.0,62.0,29645,16538,live,,,,,,
4768,2026-07-10T10:16:32.000+01:00,7.327572822570801,7.748628616333008,7.748629570007324,787.0,32.196537017822266,44.97138977050781,1014.3914794921875,0.1416015625,1.0,60.0,29616,16532,live,,,,,,
4769,2026-07-10T10:16:42.000+01:00,7.5807600021362305,8.016365051269531,8.016366004943848,786.0,32.21522903442383,44.91188049316406,1014.3900146484375,0.0146484375,1.0,59.0,29662,16531,live,,,,,,
4770,2026-07-10T10:16:52.000+01:00,6.988279819488525,7.3898396492004395,7.389840602874756,785.0,32.23659133911133,44.92256164550781,1014.39111328125,0.010986328125,1.0,56.0,29674,16532,live,,,,,,
4771,2026-07-10T10:17:02.000+01:00,6.867470741271973,7.262088298797607,7.262089252471924,783.0,32.249942779541016,44.7775993347168,1014.3916625976562,0.0054931640625,1.0,52.0,29704,16533,live,,,,,,
4772,2026-07-10T10:17:12.000+01:00,6.787694454193115,7.177728176116943,7.17772912979126,778.0,32.27664566040039,44.70588302612305,1014.3922119140625,0.0054931640625,1.0,49.0,29727,16534,live,,,,,,
4773,2026-07-10T10:17:22.000+01:00,7.126407623291016,7.535904407501221,7.535905838012695,776.0,32.28732681274414,44.6494255065918,1014.3934936523438,0.0128173828125,1.0,45.0,29754,16529,live,,,,,,
4774,2026-07-10T10:17:32.000+01:00,7.364569664001465,7.7877516746521,7.787753105163574,770.0,32.30868911743164,44.69367599487305,1014.3843994140625,0.0909423828125,1.0,43.0,29742,16530,live,,,,,,
4775,2026-07-10T10:17:42.000+01:00,6.513469219207764,6.887745380401611,6.887746334075928,767.0,32.33005142211914,44.6402702331543,1014.3865356445312,0.0213623046875,1.0,40.0,29773,16537,live,,,,,,
4776,2026-07-10T10:17:52.000+01:00,6.331261157989502,6.695067405700684,6.695068359375,763.0,32.34340286254883,44.58991241455078,1014.3863525390625,0.0018310546875,1.0,36.0,29823,16532,live,,,,,,
4777,2026-07-10T10:18:02.000+01:00,6.549375534057617,6.92571496963501,6.925715923309326,760.0,32.35408401489258,44.46479034423828,1014.38134765625,0.050048828125,1.0,32.0,29851,16532,live,,,,,,
4778,2026-07-10T10:18:12.000+01:00,7.234221458435059,7.649913311004639,7.649914264678955,755.0,32.3701057434082,44.41291046142578,1014.38427734375,0.029296875,1.0,29.0,29889,16528,live,,,,,,
4779,2026-07-10T10:18:22.000+01:00,6.930027961730957,7.328240394592285,7.328241348266602,751.0,32.386131286621094,44.304569244384766,1014.3750610351562,0.0921630859375,1.0,26.0,29909,16530,live,,,,,,
4787,2026-07-10T10:19:42.000+01:00,6.8235697746276855,7.215664863586426,7.2156662940979,684.0,32.48493194580078,43.55535125732422,1014.3216552734375,0.5340576171875,1.0,22.0,29875,16503,live,,,,,,
4790,2026-07-10T10:20:12.000+01:00,12.024500846862793,12.71545124053955,12.715453147888184,684.0,32.500953674316406,44.316776275634766,1014.262451171875,0.592041015625,1.0,24.0,29933,16526,live,,,,,,
4791,2026-07-10T10:20:22.000+01:00,9.400835037231445,9.941024780273438,9.941025733947754,681.0,32.51964569091797,44.58380889892578,1014.2521362304688,0.1031494140625,1.0,22.0,30044,16535,live,,,,,,
4792,2026-07-10T10:20:32.000+01:00,7.415232181549072,7.841324806213379,7.8413262367248535,676.0,32.52765655517578,45.77401351928711,1014.2613525390625,0.0921630859375,1.0,19.0,29950,16538,live,,,,,,
4793,2026-07-10T10:20:42.000+01:00,6.822208881378174,7.2142252922058105,7.214226722717285,675.0,32.54901885986328,48.148319244384766,1016.4790649414062,22.1771240234375,1.0,22.0,29816,16583,live,,,,,,
4794,2026-07-10T10:20:52.000+01:00,7.194748878479004,7.608172416687012,7.608173370361328,677.0,32.62378692626953,49.991607666015625,1016.7991333007812,3.20068359375,1.0,29.0,29758,16674,live,,,,,,
4795,2026-07-10T10:21:02.000+01:00,7.5355377197265625,7.968543529510498,7.968544960021973,679.0,32.647823333740234,50.21286392211914,1016.838623046875,0.3948974609375,1.0,26.0,30038,16758,live,,,,,,
