sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,DPS_tem,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
7518,2026-08-12T16:47:06.000+01:00,7.7042741775512695,8.904666900634766,9.857422828674316,626.0,30.67978858947754,33.571311950683594,30.177766799926758,1022.1068115234375,13.4136962890625,1.0,289.0,31125,15882,live,910GPADTLL,Paddington,,,,
7519,2026-08-12T16:47:16.000+01:00,7.357176780700684,8.487594604492188,9.37743854522705,626.0,30.66910743713379,33.581520080566406,29.910734176635742,1022.0122680664062,0.9454345703125,1.0,285.0,31098,15870,live,,,,,,
7520,2026-08-12T16:47:26.000+01:00,7.38427734375,8.493412017822266,9.354537010192871,627.0,30.698482513427734,33.60051727294922,29.39192771911621,1022.2078857421875,1.9561767578125,1.0,291.0,31038,15856,live,,,,,,
7521,2026-08-12T16:47:36.000+01:00,15.041290283203125,17.288496017456055,19.027427673339844,628.0,30.6557559967041,33.53728485107422,29.35530662536621,1022.7991943359375,5.9130859375,1.0,303.0,31073,15827,live,,,,,,
7522,2026-08-12T16:47:46.000+01:00,11.152765274047852,12.797825813293457,14.06055736541748,630.0,30.6130313873291,33.50127410888672,30.348669052124023,1022.7891235351562,0.1007080078125,1.0,273.0,31238,15824,live,,,,,51.513388143083226,-0.14920600376077783
7523,2026-08-12T16:47:56.000+01:00,9.44360637664795,10.845322608947754,11.925558090209961,631.0,30.586328506469727,33.421600341796875,31.14671516418457,1022.8259887695312,0.36865234375,1.0,238.0,31299,15906,live,,,,,51.513388143083226,-0.14920600376077783
7524,2026-08-12T16:48:06.000+01:00,7.642463684082031,8.790260314941406,9.68134593963623,629.0,30.54627227783203,33.43775939941406,31.708248138427734,1022.8068237304688,0.191650390625,1.0,202.0,31391,15957,live,,,,,51.51338640027287,-0.14918566009295092
7525,2026-08-12T16:48:16.000+01:00,6.077939987182617,7.005760669708252,7.733283519744873,624.0,30.47417449951172,33.41026306152344,32.10040283203125,1022.77099609375,0.3582763671875,1.0,179.0,31420,16000,live,,,,,51.51338640027287,-0.14918566009295092
7526,2026-08-12T16:48:26.000+01:00,4.914167404174805,5.671644687652588,6.269057273864746,623.0,30.38338279724121,33.39720916748047,32.45288848876953,1022.440185546875,3.30810546875,1.0,177.0,31373,16023,live,,,,,51.51338640027287,-0.14918566009295092
7527,2026-08-12T16:48:36.000+01:00,3.926889419555664,4.52312707901001,4.989126682281494,624.0,30.3967342376709,33.34674072265625,32.6604118347168,1022.0086059570312,4.3157958984375,1.0,170.0,31447,16040,live,,,,,51.51338640027287,-0.14918566009295092
7528,2026-08-12T16:48:46.000+01:00,4.393421173095703,5.0596537590026855,5.579957485198975,623.0,30.38338279724121,33.255157470703125,32.6787223815918,1021.9542236328125,0.5438232421875,1.0,154.0,31281,16067,live,,,,,51.51338640027287,-0.14918566009295092
7529,2026-08-12T16:48:56.000+01:00,5.466468811035156,6.326625823974609,7.013246536254883,626.0,30.27389907836914,33.17774200439453,33.36079788208008,1022.0410766601562,0.8685302734375,1.0,188.0,30942,16056,live,,,,,51.51338640027287,-0.14918566009295092
7530,2026-08-12T16:49:06.000+01:00,10.701752662658691,12.513517379760742,14.018458366394043,684.0,30.183107376098633,33.09239959716797,34.477760314941406,1021.9393920898438,1.016845703125,1.0,258.0,30895,16092,live,,,,,51.51338640027287,-0.14918566009295092
7531,2026-08-12T16:49:16.000+01:00,13.62354850769043,16.13728141784668,18.31379508972168,737.0,30.167085647583008,33.0450439453125,35.23918533325195,1021.9686889648438,0.29296875,1.0,295.0,30939,16150,live,,,,,51.51338640027287,-0.14918566009295092
7532,2026-08-12T16:49:26.000+01:00,16.582300186157227,19.87101173400879,22.8082332611084,783.0,30.116350173950195,33.04759216308594,35.739681243896484,1021.9970092773438,0.283203125,1.0,311.0,30957,16210,live,,,,,51.51338640027287,-0.14918566009295092
7533,2026-08-12T16:49:36.000+01:00,17.468151092529297,20.941198348999023,24.046207427978516,817.0,30.137712478637695,33.03199768066406,36.089111328125,1021.9849853515625,0.1202392578125,1.0,320.0,30940,16250,live,,,,,51.51338640027287,-0.14918566009295092
7534,2026-08-12T16:49:46.000+01:00,18.189815521240234,21.849258422851562,25.136503219604492,847.0,30.196460723876953,33.04192352294922,36.41260528564453,1022.0438842773438,0.5889892578125,1.0,330.0,30911,16283,live,,,,,51.5135209184057,-0.14916657518473722
7535,2026-08-12T16:49:56.000+01:00,22.63949966430664,27.380550384521484,31.706340789794922,881.0,30.148393630981445,32.97642517089844,36.67353439331055,1021.98583984375,0.5804443359375,1.0,340.0,30893,16317,live,,,,,51.513571083939084,-0.14914960947863226
7536,2026-08-12T16:50:06.000+01:00,30.83978271484375,37.84284210205078,44.420475006103516,898.0,30.127031326293945,32.906951904296875,37.05805969238281,1022.1511840820312,1.6534423828125,1.0,345.0,30908,16337,live,,,,,51.51342765252149,-0.1491823631904324
7537,2026-08-12T16:50:16.000+01:00,40.48362350463867,50.14000701904297,59.357234954833984,912.0,30.081636428833008,32.950340270996094,37.442588806152344,1021.9444580078125,2.0672607421875,1.0,340.0,30972,16357,live,,,,,51.51366315218906,-0.14914285846435368
7538,2026-08-12T16:50:26.000+01:00,41.435665130615234,53.22520065307617,65.05595397949219,928.0,30.145723342895508,33.009315490722656,37.547874450683594,1021.9939575195312,0.4949951171875,1.0,329.0,31004,16376,live,,,,,51.51383255690671,-0.1491399821067854
7539,2026-08-12T16:50:36.000+01:00,38.99195098876953,50.370880126953125,61.86189270019531,930.0,30.156404495239258,33.03710174560547,37.63637924194336,1022.4893798828125,4.9542236328125,1.0,321.0,30972,16401,live,,,,,51.51385284751265,-0.14922122102313282
7540,2026-08-12T16:50:46.000+01:00,86.1957015991211,109.10717010498047,131.68899536132812,931.0,30.177766799926758,33.06603240966797,37.63027572631836,1022.3789672851562,1.1041259765625,1.0,320.0,30918,16415,live,940GZZLUBND,Bond Street,,,,
7541,2026-08-12T16:50:56.000+01:00,104.23091888427734,130.11117553710938,155.12295532226562,934.0,30.196460723876953,33.10260009765625,38.529029846191406,1022.5603637695312,1.81396484375,1.0,342.0,30769,16431,live,940GZZLUBND,Bond Street,,,,
